title
續辦雙城論壇決定權在蔣萬安？　北市府：中央有「准駁權」
民代爆台中某宮廟疑砸百萬邀青年遊大陸　「在校生」補助8成機票
上海訪團102人誰要補件？　北市府喊話陸委會明確說明
雙城論壇獲「暫時同意」　北市府：陸委會也認可兩岸交流應繼續
中共軍演時期　國安人士：運用臉書社團對台認知戰
死刑憲判有無侵害立法權？　大法官提名人：憲法解釋等同法律效力
翁曉玲驚呼「大陸人不是中華民國人嗎？」　要大法官被提名人多查論文
陸生提「中國台北」恐遭懲處　馬辦嘆至今仍未收到陸委會來函
花蓮震後紅單危樓遲未拆　內政部：全力協助地方復原及社區重建　
民意不滿實質廢死　陳運財重申「民意並不拘束大法官」
民眾黨新黨代表名單出爐！　有人酒駕遭剔除、灌票校正回歸
朱立倫下軍令狀這會期過「三大法案」　綠黨團捍衛立場還要攔反年改
勞動部認謝宜容霸凌！　洪孟楷批：更證明上次要幫忙開脫
賴清德勉黨公職謹記民主前輩　「民進黨要守護民主絕不走回頭路」
馬英九邀陸生團訪台共機艦照來　馬辦嗆：問題在民進黨政府
曝「民眾黨代表投票率史上最低」　四叉貓：只有5千人參與投票
「備用逾120份禮盒」不見了　黃國昌視察北分署：誰在掩飾謝宜容犯罪？
陸委會叫停雙城論壇？　朱立倫嗆別耍小手段：蔣萬安都準備好了
班班有鮮乳若難執行　卓榮泰：是否續辦下周做最終決定
大法官判死刑合憲　何賴傑尊重先例：將依個案判定
服務業開放移工惹議　卓榮泰：優先進用本勞是不變定律
解放軍大規模圍台　卓榮泰：嚴正期待北京當局停止非理性行為
雙城論壇強碰中共大規模軍事行動　綠委：兩岸最需要的是理性溝通
馬英九將率團訪中　卓榮泰：盼他能勇敢自稱「中華民國前總統」
總統府：北京對印太區域安全公然破壞　立即停止一切挑釁行為
王世堅「沒有考慮」選台北市長　點3人選「都非常適合」
解放軍圍台仍要辦雙城論壇？　卓榮泰籲蔣萬安慎思
中央若放行入境　兩岸人士：軍事威嚇下續辦雙城決定權落回蔣萬安
勞動部大轉彎承認「謝宜容霸凌」　黃國昌：誰該為第一份報告負責？
中共在台海大規模軍事行動　綠委：國軍已擬定反制航道
國民黨批姚立明自稱不求官是廢話　「不抗拒酬庸就不是酬庸？」
蔣萬安盼續辦雙城論壇　綠黨團「莫推中央」：要辦不辦北市府要決斷
釋憲後首例！陳彥翔燒死8至親逃死　王鴻薇轟：為實質廢死開第一槍
馬英九要率台灣青年訪中　民進黨團：一錯再錯將成歷史罪人
姚立明稱「一生不求官」　李彥秀諷：永遠站在權力的鋒頭浪尖
提「興建下一個巨蛋」3建議　蔡其昌喊話：該為下個世界冠軍準備了
稱柯文哲手機設羅廷瑋「可能輸錯了」　徐巧芯再爆時間序內幕
2024年兩岸漢字評選「爭」當選　陸國台辦解讀「爭」與「不爭」
拋「兩岸新論述」　王金平：政府都在否定九二共識再提有啥用？
加薪了！劉世芳宣布內政部約聘僱人員　月薪調至最低工資1.1倍
3大機制！北市與3超商打詐　收空包裹7天內申請退款、最慢10天完成
新兩岸論述遭沈伯洋批一國兩制　王金平轟：你這麼厲害就快提辦法
雙城論壇恐喊卡！　王金平喊話「多交流」：政府應該審慎思考
有台灣身分證的中國人可否參選？　何賴傑曝問題點：應立法院處理
若中央喊卡「雙城論壇改線上」？　北市府：目前無此討論
台灣2024年代表字 「貪」字奪冠　洪孟楷：給賴政府一記當頭棒喝
傳陸委會卡雙城！北市府喊話「開大門走大路」　別對交流增加條件
姚立明稱「賴清德不可能戒嚴」　游盈隆：這樣回答是不及格的
陸生團甫落幕！　馬英九18日率台灣青年訪哈爾濱、成都9天
「民進黨要複製一個新柯文哲」　黃揚明談苗博雅：發文是承認要選了
快訊／傳陸委會擬卡雙城論壇　蔣萬安盼續辦：增加了解比增加誤解好
謝宜容涉貪遭聲押禁見　藍委轟洪申翰：前兩天還盲目背書
共軍盤踞第一島鏈封控　民進黨：中共就是兩岸關係不穩定最大因素
快訊／64架次共機艦出海「四面環台」　1996年來最大規模海上行動
國土法將上路申請案暴增？　國土署：既有法規仍在送件仍需審議
共軍大規模圍台「雙城論壇擬喊停？」陸委會：掌握研析當中
傳因中共軍事脅迫「陸委會擬停雙城論壇」　北市府：越困難越該交流
被黃國昌罵「垃圾週刊」　《鏡週刊》：明天未道歉就告
中共軍演「雙城論壇恐停辦？」　陸委會：對各種情況研析中
486先生咬定鍾明軒叛國拿中共錢　王婉諭：別變成我們想對抗的怪物
缺乏足夠認識、案件總數不足　民眾黨團曝姚立明問卷內容：不如小學生
姚立明表態「支持死刑」　但應給予較嚴格條件
奈良美智收到賴清德生日賀卡High了　「非常感謝！非常開心！」
爆柯文哲假冒羅廷瑋談「柯盧配」？　徐巧芯急澄清：應要問檢調
柯文哲「遺忘的硬碟」成破口！她嘆恐摧毀民眾黨：黃國昌只是棋子
幕後／中共4原因說不出口要軍演　寧把官兵丟海上搖也不要軍心搖
幕後／共軍大量盤踞第一島鏈部署圖看這裡　已佈陣70天！破90船艦
綠想結束協商藍轟薪水小偷　陳玉珍戰柯建銘「年紀大不耐久坐」
林右昌拜會日本立憲民主黨、前日相野田佳彥　「台日情誼超越輸贏」
郭台銘昔日宮鬥女主角分享50歲減齡愛美不受罪 　劉宥彤、蔡沁瑜攜手創業轉戰醫美
王鴻薇嗆求官　姚立明揭兩真相回擊：韓國瑜選市長也邀過我
史雪燕未依法放棄他國國籍！　內政部：無剝奪外配參政權
藍批追認期太長　姚立明認同修《戒嚴法》
傳民進黨派「堅瑤苗」戰北市　洪孟楷稱煙霧彈：誰對上蔣萬安都是輸
2026戰蔣萬安？苗博雅：無論掩護隊友或當「關鍵打擊」　台灣隊都要贏
2大外送平台合併案延長審議　外送員工會嗆公平會應「直接否決」
紅隼8年內射擊1089發2枚故障　中科院：妥善率99.8%
駁酬庸說　姚立明舉「變色龍」外號：正好證明我只忠於專業與良心
沈伯洋稱「藍修戒嚴法破壞國安」　他揭修法原因：到底在反對什麼
司法院長被提名人曾連署集遊法違憲　「有進一步檢討必要」
王金平提兩岸同而不分　時力指就是九二共識：不是講複雜點就變有道理
中共盤踞第一島鏈封控　民眾黨譴責「破壞區域和平」：台海非中國內海
藍承諾不再突襲！選罷法、憲訴法排進週五院會議程　戒嚴法拚付委
就安基金被亂花引發民憤　立院朝野共識「預算砍3億」
AIT：中共軍事活動程度已達大型軍演！　呼籲勿破壞和平穩定
藍營控找「馬維拉」救援謝宜容霸凌　蘇巧慧還原受訪內容：別斷章取義
共軍擴大台灣周邊「軍事行動範圍」　 AIT：與賴總統過境無關
六都市長唯二「滿意度破6成」　陳其邁民調領跑：感謝市民支持
翁曉玲嗆釋憲也可能違憲　大法官被提名人傻眼坦言「難以想像」
主張廢死的我就投不同意票！　洪孟楷對大法官人事案表態　
陸委會稱已送雙城補件資料　北市府：沒收到「誰不能來」公文
大法官人事審查！國民黨標準出爐了　堅定立場反對「實質廢死」
TPOC揭最新政黨聲量　民進黨因「戒嚴文」好感度跌、負聲量23萬則
新北議員擬揭員警遭霸凌案「被關切」　控警察局長竟帶人「包圍」
大法官被提名人劉靜怡：台灣應走向沒有死刑　對死刑合憲判決遺憾
曾痛批王義川「蠢到爆表」　大法官被提名人劉靜怡：這是我的真心話
軍演不是針對台灣？　林楚茵開嗆：國民黨又笨又可惡
行政院也傳霸凌事件　行政院：評估是否立案調查中
班班有鮮奶政策難行　行政院：農業部、教育部仍在搜集意見
蘇巧慧稱「謝宜容可能從馬時代就在」　藍議員轟：又搬馬維拉救援
失聯移工合法化？業界反對　勞動部：目前沒有轉正的政策在執行
林月琴稱遭踹傷「下體出血」　陳玉珍：過5天才指控毫無道理
引進移工會優先保障本勞　勞動部：農曆年後對勞動力狀況有整體評估
幼教監視器調閱困難　林月琴促改革籲地方別再躲
鏡週刊被罵「垃圾」將提告　黃國昌笑答：浪費司法資源自取其辱
徐巧芯踢爆大法官被提名人「蓋違建」　廖福特啞口：持分共有出租
雙城論壇下周登場　陸委會：昨已將同意函、補件資料交北市府
勞動部調查結果大逆轉！　黃暐瀚：前一份報告是不是該查一查？
基層員警竟用傳真機阻詐！　葉元之轟數發部：睡醒了沒？
稱「姚立明被提名大法官是酬庸」　賴士葆：這就是恐龍法官的由來
中共昔軍演模擬攻總統府畫面曝　演練「斬首」！時任總統為馬英九
蔣萬安曾承諾「雙城論壇前提是中共不擾台」　綠酸跳票、北市府避談
點名閩南狼、曹興誠、矢板明夫　蕭旭岑酸︰他們的言論都問號
民進黨「聯手苗博雅」威脅蔣萬安？　郭正亮：吳思瑤不選才派她
傳黃珊珊將提早復權？　郭正亮猛搖頭：最好不要因人設事
王義川接手金馬艱困選區　她喊：跟陳玉珍命中注定
曝陸委會杯葛「雙城論壇」手段　蕭旭岑嘆賴清德私下挺兩岸交流
白委要安排「廢死派」被提名人與受害家屬面談　廖福特：我當然願意
快訊／新北環狀線提早修復完成！　今中午12點全線恢復通車
「班班有鮮乳」難執行？　藍委轟農業部：把學生當政策實驗品
勞動部認「謝宜容霸凌」　游盈隆：政府第一次願認錯該給予讚揚
籌辦運動產業發展中心　鄭麗君：推動運動產業化、促進產業發展
稱馬執政哪有軍演遭打臉　馬辦：習近平當面告訴馬英九非針對台
前國防部長李天羽上將今晨病逝　享壽79歲
剩不到5天！上海102人誰需補件？　蔣萬安：還沒收到陸委會公文
為擋選罷法遭踹林月琴下體出血　她電話關心揭「心理創傷更大」
快訊／50架次共機艦「四面環台」　22架次逾越台海中線
小琉球活珊瑚跌剩11.9％！監院指「生態系已多半失能」糾正4單位
台灣學國際化！學者專家解析研究定位：跳脫亞洲視角，重塑全球比較價值
大法官被提名人認同死刑　王碧芳坦言：曾看被害人媽媽像跟著死去
八炯、閩南狼衝攝影棚堵人！突襲詹江村怒吼「騙中華民國派選票」
陸委會幫北市府宣布「能配合延後雙城」　事前0溝通、遲未說誰需補件
續辦雙城論壇決定權在蔣萬安？　北市府：中央有「准駁權」
民代爆台中某宮廟疑砸百萬邀青年遊大陸　「在校生」補助8成機票
上海訪團102人誰要補件？　北市府喊話陸委會明確說明
雙城論壇獲「暫時同意」　北市府：陸委會也認可兩岸交流應繼續
中共軍演時期　國安人士：運用臉書社團對台認知戰
死刑憲判有無侵害立法權？　大法官提名人：憲法解釋等同法律效力
翁曉玲驚呼「大陸人不是中華民國人嗎？」　要大法官被提名人多查論文
陸生提「中國台北」恐遭懲處　馬辦嘆至今仍未收到陸委會來函
花蓮震後紅單危樓遲未拆　內政部：全力協助地方復原及社區重建　
民意不滿實質廢死　陳運財重申「民意並不拘束大法官」
民眾黨新黨代表名單出爐！　有人酒駕遭剔除、灌票校正回歸
朱立倫下軍令狀這會期過「三大法案」　綠黨團捍衛立場還要攔反年改
勞動部認謝宜容霸凌！　洪孟楷批：更證明上次要幫忙開脫
賴清德勉黨公職謹記民主前輩　「民進黨要守護民主絕不走回頭路」
馬英九邀陸生團訪台共機艦照來　馬辦嗆：問題在民進黨政府
曝「民眾黨代表投票率史上最低」　四叉貓：只有5千人參與投票
「備用逾120份禮盒」不見了　黃國昌視察北分署：誰在掩飾謝宜容犯罪？
陸委會叫停雙城論壇？　朱立倫嗆別耍小手段：蔣萬安都準備好了
班班有鮮乳若難執行　卓榮泰：是否續辦下周做最終決定
大法官判死刑合憲　何賴傑尊重先例：將依個案判定
服務業開放移工惹議　卓榮泰：優先進用本勞是不變定律
解放軍大規模圍台　卓榮泰：嚴正期待北京當局停止非理性行為
雙城論壇強碰中共大規模軍事行動　綠委：兩岸最需要的是理性溝通
馬英九將率團訪中　卓榮泰：盼他能勇敢自稱「中華民國前總統」
總統府：北京對印太區域安全公然破壞　立即停止一切挑釁行為
王世堅「沒有考慮」選台北市長　點3人選「都非常適合」
解放軍圍台仍要辦雙城論壇？　卓榮泰籲蔣萬安慎思
中央若放行入境　兩岸人士：軍事威嚇下續辦雙城決定權落回蔣萬安
勞動部大轉彎承認「謝宜容霸凌」　黃國昌：誰該為第一份報告負責？
中共在台海大規模軍事行動　綠委：國軍已擬定反制航道
國民黨批姚立明自稱不求官是廢話　「不抗拒酬庸就不是酬庸？」
蔣萬安盼續辦雙城論壇　綠黨團「莫推中央」：要辦不辦北市府要決斷
釋憲後首例！陳彥翔燒死8至親逃死　王鴻薇轟：為實質廢死開第一槍
馬英九要率台灣青年訪中　民進黨團：一錯再錯將成歷史罪人
姚立明稱「一生不求官」　李彥秀諷：永遠站在權力的鋒頭浪尖
提「興建下一個巨蛋」3建議　蔡其昌喊話：該為下個世界冠軍準備了
稱柯文哲手機設羅廷瑋「可能輸錯了」　徐巧芯再爆時間序內幕
2024年兩岸漢字評選「爭」當選　陸國台辦解讀「爭」與「不爭」
拋「兩岸新論述」　王金平：政府都在否定九二共識再提有啥用？
加薪了！劉世芳宣布內政部約聘僱人員　月薪調至最低工資1.1倍
陸證實逮捕台灣3名一貫道信徒　陸委會、海基會要求儘速放人
卓榮泰揭秘院長的一天！會議、行程滿檔　不忘提醒：多陪家人
蔣萬安「遺憾」上海台辦主任遭封殺　她批：這非首都市長應有的態度
今年第四度　美軍P-8A機今上午飛越台海上空
幕後／今院會本要強渡《選罷法》　國民黨急踩剎車2原因曝光
雙城上海團16日前全抵台　警察局長口誤「住京華城」被議員虧
42%市民挺2028選總統！　喊「天方夜譚」陳其邁：支持賴清德連任
翁曉玲稱大陸人有中華民國籍　大法官尪釋憲文「跨時空打臉」
今年度國營事業預算三讀　規模6兆、大砍火力發電和就安基金
點名民進黨蘇系「這個人」戰新北！　吳子嘉分析：當選機會非常大
「主委山地平地輪流當、委員無給職」　原民會：將報請覆議或釋憲
捷克國會不認同「台灣是中國的一部分」　外交部：肯定並誠摯感謝
民眾黨支持度僅剩5.7%　吳子嘉斷言泡沫化：找不到理由能谷底反彈
轟民進黨「綠共」卡雙城論壇　趙少康嗆賴清德：小鼻子小眼睛的格局
劍指王義川！　立院表決通過成立「通訊遭非法監控調查委員會」
快訊／原民會組織法三讀！　主委山地與平地輪流當、委員改無給職
轟「雙城論壇」封殺陸官員媒體來台　郝龍斌：怎麼比大陸還封閉？
行政院霸凌通報平台上線　具名申訴、權責單位需3天內回報
「重度失能者家庭」免繳就安費今付委　葉元之：符合就安基金初衷
快訊／防假球！運產條例三讀　為簽賭妨害賽事公平處7年重刑、罰3千萬
迎接史上最高跨年人流！　李四川曝散場路線圖：免費搭綠線回家　
家長們注意！中國「空氣針」玩具入台　綠議員曝可能造成外傷
蔡其昌讚台鋼成長快速「有可能提前討論第七隊」　第二顆蛋最佳地點曝
青鳥威脅霸街服務處！　王鴻薇：這裡沒有紅酒牛肉
藍掛保證今不處理選罷法　場外民團：若硬闖將號召到王鴻薇服務處抗議
指中央也盼促成兩岸對話　北市府：台北市哪裡不夠有誠意？
台灣民意民調／42%反對國民黨廢年金改革　小草比藍支持者更挺廢年改
雙城論壇陸方10人不能來！　洪孟楷轟：政府不想兩岸交流就下令
王鴻薇嗆綠離開議場10分「薪水小偷」　隔日傅崐萁赴港、王神隱缺席
民進黨立委7點衝院會霸佔主席台　韓國瑜急召集黨團協商
黑熊學院認「用陸製空拍機」　黃揚明：不去查一下誰被統戰嗎
防在野突襲選罷法　綠營集結議場遞5民生法案、韓國瑜邀朝野協商議程
黑熊學院用陸製空拍機拍「守護台灣」　徐巧芯諷：募款完錢再給大陸賺
黨內點名2026轉戰桃園？ 　蘇巧慧直球對決：這次報名的還是新北場
上海訪團10人審核未過不能來　蔣萬安遺憾：要對民主韌性有信心
004朱蕙蓉一看柯爛帳說重話「全國人都慶幸沒選你」
快訊／拂曉出擊！綠營5點議場門口排隊遞案　王義川7點就坐上主席台
就安基金被亂花引發民憤　立院朝野共識「預算砍3億」
AIT：中共軍事活動程度已達大型軍演！　呼籲勿破壞和平穩定
藍營控找「馬維拉」救援謝宜容霸凌　蘇巧慧還原受訪內容：別斷章取義
共軍擴大台灣周邊「軍事行動範圍」　 AIT：與賴總統過境無關
六都市長唯二「滿意度破6成」　陳其邁民調領跑：感謝市民支持
翁曉玲嗆釋憲也可能違憲　大法官被提名人傻眼坦言「難以想像」
主張廢死的我就投不同意票！　洪孟楷對大法官人事案表態　
陸委會稱已送雙城補件資料　北市府：沒收到「誰不能來」公文
大法官人事審查！國民黨標準出爐了　堅定立場反對「實質廢死」
TPOC揭最新政黨聲量　民進黨因「戒嚴文」好感度跌、負聲量23萬則
新北議員擬揭員警遭霸凌案「被關切」　控警察局長竟帶人「包圍」
大法官被提名人劉靜怡：台灣應走向沒有死刑　對死刑合憲判決遺憾
曾痛批王義川「蠢到爆表」　大法官被提名人劉靜怡：這是我的真心話
軍演不是針對台灣？　林楚茵開嗆：國民黨又笨又可惡
行政院也傳霸凌事件　行政院：評估是否立案調查中
班班有鮮奶政策難行　行政院：農業部、教育部仍在搜集意見
蘇巧慧稱「謝宜容可能從馬時代就在」　藍議員轟：又搬馬維拉救援
失聯移工合法化？業界反對　勞動部：目前沒有轉正的政策在執行
林月琴稱遭踹傷「下體出血」　陳玉珍：過5天才指控毫無道理
引進移工會優先保障本勞　勞動部：農曆年後對勞動力狀況有整體評估
幼教監視器調閱困難　林月琴促改革籲地方別再躲
鏡週刊被罵「垃圾」將提告　黃國昌笑答：浪費司法資源自取其辱
徐巧芯踢爆大法官被提名人「蓋違建」　廖福特啞口：持分共有出租
雙城論壇下周登場　陸委會：昨已將同意函、補件資料交北市府
勞動部調查結果大逆轉！　黃暐瀚：前一份報告是不是該查一查？
基層員警竟用傳真機阻詐！　葉元之轟數發部：睡醒了沒？
稱「姚立明被提名大法官是酬庸」　賴士葆：這就是恐龍法官的由來
中共昔軍演模擬攻總統府畫面曝　演練「斬首」！時任總統為馬英九
蔣萬安曾承諾「雙城論壇前提是中共不擾台」　綠酸跳票、北市府避談
點名閩南狼、曹興誠、矢板明夫　蕭旭岑酸︰他們的言論都問號
民進黨「聯手苗博雅」威脅蔣萬安？　郭正亮：吳思瑤不選才派她
傳黃珊珊將提早復權？　郭正亮猛搖頭：最好不要因人設事
王義川接手金馬艱困選區　她喊：跟陳玉珍命中注定
曝陸委會杯葛「雙城論壇」手段　蕭旭岑嘆賴清德私下挺兩岸交流
白委要安排「廢死派」被提名人與受害家屬面談　廖福特：我當然願意
快訊／新北環狀線提早修復完成！　今中午12點全線恢復通車
「班班有鮮乳」難執行？　藍委轟農業部：把學生當政策實驗品
勞動部認「謝宜容霸凌」　游盈隆：政府第一次願認錯該給予讚揚
籌辦運動產業發展中心　鄭麗君：推動運動產業化、促進產業發展
稱馬執政哪有軍演遭打臉　馬辦：習近平當面告訴馬英九非針對台
前國防部長李天羽上將今晨病逝　享壽79歲
剩不到5天！上海102人誰需補件？　蔣萬安：還沒收到陸委會公文
為擋選罷法遭踹林月琴下體出血　她電話關心揭「心理創傷更大」
快訊／50架次共機艦「四面環台」　22架次逾越台海中線
小琉球活珊瑚跌剩11.9％！監院指「生態系已多半失能」糾正4單位
台灣學國際化！學者專家解析研究定位：跳脫亞洲視角，重塑全球比較價值
大法官被提名人認同死刑　王碧芳坦言：曾看被害人媽媽像跟著死去
八炯、閩南狼衝攝影棚堵人！突襲詹江村怒吼「騙中華民國派選票」
陸委會幫北市府宣布「能配合延後雙城」　事前0溝通、遲未說誰需補件
羅文嘉要雙城論壇救一貫道信徒　國民黨開嗆：史上最廢海基會
傅崐萁喊「提高罷免門檻」必過　綠委勸藍營罷免傅「否則一人毀全黨」
揭穿廖福特蓋違建！　徐巧芯收「鄰居」送花籃讚：感謝揭露真面目
斷言綠營2026北市長推王世堅　黃暐瀚：不會再找一個黨外的人參選
教學支援老師「同工不同酬」！　國民黨智庫要求教育部檢討
遭爆「提拔」特助當原民會委員　伍麗華反擊：高金素梅說謊政客
「李文宗是柯文哲私庫管理者」　吳靜怡轟：豢養龐大網軍、假帳號
雙城論壇陸委會否決陸媒來台　許宇甄：民進黨比共產黨還要共產黨
快訊／勞部輕生員工家屬最新聲明！　感謝各界聲援「打破官官相護」
一貫道民眾赴陸遭捕　綠委籲蔣萬安：在雙城論壇向中國抗議
幕後／考試院人事17日表決　國民黨團點名這幾位「不會全部放行」
曝《憲訴法》白營仍在「凝聚共識」　黃珊珊：在野合作不是照單全收
羅文嘉喊話雙城論壇救一貫道信徒　林奕華酸：溝通管道全沒了？
蔣萬安「閃到腰」行程全取消　林奕華：昨天比較嚴重
林佳龍盼實踐「臭豆腐外交」　「台美繼續共同維護區域的穩定」
傳綠營推何志偉出戰2026桃園市長　葉元之：他身段軟、大家不會討厭
藍提高罷免門檻闖關「最終戰」戰略曝　綠營悲觀：一定盡全力擋
中央興辦社宅全台開工100案　8年20萬戶社宅目標年底可達成
高虹安「鄰家姊姊」新造型曝光　粉絲湧入狂讚：看得讓人舒服
藍營力拼修高罷免門檻　綠委籲回歸民生法案：符合民心就不用怕被罷
「抗中、圍蔣、安撫深綠」卡雙城論壇！　藍委籲蔣萬安：做好沙盤推演
3法案有望綠白合　綠營指黃珊珊版傷害較小「當然願意合作」
下周審《選罷法》朝野恐衝突！　她轟綠：癱瘓議事跟戒嚴有何兩樣？
翁曉玲喊「大陸人有中華民國國籍」　綠委轟：這就是中國國民黨立委
爭取宜蘭太平山鐵路復駛！　吳宗憲要求交通部、農業部速審查
重申反廢死立場！　侯友宜：我看過兇嫌犯案後還在笑
前防長李天羽辭世　他曝任內兩大貢獻：太平島機場、縮短役期為一年
火線人物／生育非女性存在的價值　吳沛憶帶著傷痛前進：要努力的還很多
「司長逼深蹲」衛福部竟認鼓勵運動　她轟：公務體系腐敗難以想像
習近平國慶文告「刪除6個字」　呂秀蓮：北京對台轉變的重要訊號
陸證實逮捕台灣3名一貫道信徒　陸委會、海基會要求儘速放人
卓榮泰揭秘院長的一天！會議、行程滿檔　不忘提醒：多陪家人
蔣萬安「遺憾」上海台辦主任遭封殺　她批：這非首都市長應有的態度
今年第四度　美軍P-8A機今上午飛越台海上空
幕後／今院會本要強渡《選罷法》　國民黨急踩剎車2原因曝光
雙城上海團16日前全抵台　警察局長口誤「住京華城」被議員虧
42%市民挺2028選總統！　喊「天方夜譚」陳其邁：支持賴清德連任
翁曉玲稱大陸人有中華民國籍　大法官尪釋憲文「跨時空打臉」
今年度國營事業預算三讀　規模6兆、大砍火力發電和就安基金
點名民進黨蘇系「這個人」戰新北！　吳子嘉分析：當選機會非常大
「主委山地平地輪流當、委員無給職」　原民會：將報請覆議或釋憲
捷克國會不認同「台灣是中國的一部分」　外交部：肯定並誠摯感謝
民眾黨支持度僅剩5.7%　吳子嘉斷言泡沫化：找不到理由能谷底反彈
轟民進黨「綠共」卡雙城論壇　趙少康嗆賴清德：小鼻子小眼睛的格局
劍指王義川！　立院表決通過成立「通訊遭非法監控調查委員會」
快訊／原民會組織法三讀！　主委山地與平地輪流當、委員改無給職
轟「雙城論壇」封殺陸官員媒體來台　郝龍斌：怎麼比大陸還封閉？
行政院霸凌通報平台上線　具名申訴、權責單位需3天內回報
「重度失能者家庭」免繳就安費今付委　葉元之：符合就安基金初衷
快訊／防假球！運產條例三讀　為簽賭妨害賽事公平處7年重刑、罰3千萬
迎接史上最高跨年人流！　李四川曝散場路線圖：免費搭綠線回家　
家長們注意！中國「空氣針」玩具入台　綠議員曝可能造成外傷
蔡其昌讚台鋼成長快速「有可能提前討論第七隊」　第二顆蛋最佳地點曝
青鳥威脅霸街服務處！　王鴻薇：這裡沒有紅酒牛肉
藍掛保證今不處理選罷法　場外民團：若硬闖將號召到王鴻薇服務處抗議
指中央也盼促成兩岸對話　北市府：台北市哪裡不夠有誠意？
台灣民意民調／42%反對國民黨廢年金改革　小草比藍支持者更挺廢年改
雙城論壇陸方10人不能來！　洪孟楷轟：政府不想兩岸交流就下令
王鴻薇嗆綠離開議場10分「薪水小偷」　隔日傅崐萁赴港、王神隱缺席
民進黨立委7點衝院會霸佔主席台　韓國瑜急召集黨團協商
黑熊學院認「用陸製空拍機」　黃揚明：不去查一下誰被統戰嗎
防在野突襲選罷法　綠營集結議場遞5民生法案、韓國瑜邀朝野協商議程
黑熊學院用陸製空拍機拍「守護台灣」　徐巧芯諷：募款完錢再給大陸賺
黨內點名2026轉戰桃園？ 　蘇巧慧直球對決：這次報名的還是新北場
上海訪團10人審核未過不能來　蔣萬安遺憾：要對民主韌性有信心
004朱蕙蓉一看柯爛帳說重話「全國人都慶幸沒選你」
快訊／拂曉出擊！綠營5點議場門口排隊遞案　王義川7點就坐上主席台
就安基金被亂花引發民憤　立院朝野共識「預算砍3億」
AIT：中共軍事活動程度已達大型軍演！　呼籲勿破壞和平穩定
藍營控找「馬維拉」救援謝宜容霸凌　蘇巧慧還原受訪內容：別斷章取義
共軍擴大台灣周邊「軍事行動範圍」　 AIT：與賴總統過境無關
六都市長唯二「滿意度破6成」　陳其邁民調領跑：感謝市民支持
翁曉玲嗆釋憲也可能違憲　大法官被提名人傻眼坦言「難以想像」
主張廢死的我就投不同意票！　洪孟楷對大法官人事案表態　
陸委會稱已送雙城補件資料　北市府：沒收到「誰不能來」公文
大法官人事審查！國民黨標準出爐了　堅定立場反對「實質廢死」
TPOC揭最新政黨聲量　民進黨因「戒嚴文」好感度跌、負聲量23萬則
新北議員擬揭員警遭霸凌案「被關切」　控警察局長竟帶人「包圍」
大法官被提名人劉靜怡：台灣應走向沒有死刑　對死刑合憲判決遺憾
曾痛批王義川「蠢到爆表」　大法官被提名人劉靜怡：這是我的真心話
軍演不是針對台灣？　林楚茵開嗆：國民黨又笨又可惡
行政院也傳霸凌事件　行政院：評估是否立案調查中
班班有鮮奶政策難行　行政院：農業部、教育部仍在搜集意見
蘇巧慧稱「謝宜容可能從馬時代就在」　藍議員轟：又搬馬維拉救援
失聯移工合法化？業界反對　勞動部：目前沒有轉正的政策在執行
林月琴稱遭踹傷「下體出血」　陳玉珍：過5天才指控毫無道理
引進移工會優先保障本勞　勞動部：農曆年後對勞動力狀況有整體評估
幼教監視器調閱困難　林月琴促改革籲地方別再躲
鏡週刊被罵「垃圾」將提告　黃國昌笑答：浪費司法資源自取其辱
徐巧芯踢爆大法官被提名人「蓋違建」　廖福特啞口：持分共有出租
童振源解析新加坡花30年建設大士超級港　鞏固世界航運與物流樞紐地位
綠委夜守立法院！　力擋藍闖關選罷法「加一」
不只一貫道！海基會要蔣萬安救富察　北市嗆「政治消費」：去年就提過
花博園區「屎水溢流」臭爆　將宣導衛生紙丟垃圾桶防堵塞
海基會提醒蔣萬安「富察案」：台北市民上海被捕算不算兩城問題？
「見面不容易」致詞主題曝光！蔣萬安明宴請華源　準備1禮物盼轉交龔正
72.1％市民支持「續辦雙城論壇」　北市府：越緊張越需要交流
興達海基燒64億元收攤　柯志恩痛心：非核家園的傷害還沒到盡頭
綠委修選罷法「外國國籍者不得登記為候選人」　防止再有史雪燕
立法院明再戰選罷法　藍綠祭甲動「文攻武鬥」恐再掀衝突
尹錫悅遭彈劾！民眾黨要民進黨深刻警惕　別用「威權心態」傷害民主
上海副市長明抵台參加雙城！北市警防抗議衝突　機場部署85名警力
「昨日尹錫悅，明日賴清德」？　林右昌：一意孤行的是國民黨
日前潛艦司令「海鯤略優日本潛艦」　美國有「顧慮」沒給最新技術
蘇巧慧轉戰選桃園？　林右昌：大家都想太多了
藍明拚選罷法「加一」出委　手握排案權、挾總預算施壓綠三讀
美軍事作家提台灣「海鯤潛鑑」　台美潛艦＋飛彈能抵抗中共封鎖
蔡英文陽明山豪宅遭檢舉違建？　蔡辦曝真相：已向房東了解改善
海基會盼在雙城救一貫道信徒　北市：蔣萬安會「依循適當管道」協助
海基會要蔣萬安救赴陸一貫道　羅智強嗆廢物：提案刪上億預算
曝與柯文哲3張合照　陳佩琪喊「很想你」：要永遠記得互望的笑容
民進黨2026蘇巧慧、王義川戰桃園？　朱立倫狠酸：亂點鴛鴦譜
